"city_id","name","state_id","name"
349,Lakhimpur Kheri,28,Uttar Pradesh
350,Lakhimpur,3,Assam
350,Lakhimpur,28,Uttar Pradesh
351,Lakhisarai,4,Bihar
352,Lalitpur,14,Madhya Pradesh
352,Lalitpur,28,Uttar Pradesh
352,Lalitpur,135,Bangka Belitung
353,Lawngtlai,18,Mizoram
354,Lohardaga,11,Jharkhand
355,Longleng,19,Nagaland
356,Lunglei,18,Mizoram
357,Madhubani,4,Bihar
357,Madhubani,28,Uttar Pradesh
358,Mahabubabad,25,Telangana
359,Mahabubnagar,25,Telangana
360,Mahasamund,5,Chhattisgarh
361,Mahendragarh,8,Haryana
361,Mahendragarh,22,Rajasthan
361,Mahendragarh,43,Delhi NCR
362,Mehsana,7,Gujarat
363,Mahoba,14,Madhya Pradesh
363,Mahoba,28,Uttar Pradesh
364,Mainpuri,5,Chhattisgarh
364,Mainpuri,28,Uttar Pradesh
365,Majuli,3,Assam
366,Malkangiri,20,Odisha
367,Mandi,9,Himachal Pradesh
368,Mandsaur,14,Madhya Pradesh
368,Mandsaur,91,West Virginia
369,Mansa,7,Gujarat
369,Mansa,21,Punjab
370,Mathura,28,Uttar Pradesh
370,Mathura,29,West Bengal
371,Mau,5,Chhattisgarh
371,Mau,14,Madhya Pradesh
371,Mau,22,Rajasthan
371,Mau,28,Uttar Pradesh
371,Mau,70,Mississippi
372,Mayurbhanj,20,Odisha
373,Medak,12,Karnataka
373,Medak,25,Telangana
374,Mirzapur,8,Haryana
374,Mirzapur,28,Uttar Pradesh
374,Mirzapur,29,West Bengal
375,Moga,21,Punjab
376,Morbi,7,Gujarat
377,Morigaon,3,Assam
378,Mungeli,5,Chhattisgarh
379,Murshidabad,28,Uttar Pradesh
379,Murshidabad,29,West Bengal
380,Nadia,3,Assam
380,Nadia,29,West Bengal
381,Nagaon,3,Assam
381,Nagaon,15,Maharashtra
381,Nagaon,20,Odisha
381,Nagaon,28,Uttar Pradesh
382,Nagapattinam,24,Tamil Nadu
383,Nagaur,14,Madhya Pradesh
383,Nagaur,22,Rajasthan
384,Nainital,27,Uttarakhand
385,Nalanda,4,Bihar
386,Nalbari,3,Assam
387,Namakkal,24,Tamil Nadu
388,Namsai,2,Arunachal Pradesh
389,Nanded,14,Madhya Pradesh
389,Nanded,15,Maharashtra
390,Nandurbar,15,Maharashtra
391,Narsinghpur,14,Madhya Pradesh
392,Nawada,4,Bihar
392,Nawada,8,Haryana
392,Nawada,11,Jharkhand
392,Nawada,28,Uttar Pradesh
393,Nayagarh,11,Jharkhand
393,Nayagarh,20,Odisha
394,Neemuch,14,Madhya Pradesh
394,Neemuch,22,Rajasthan
395,Nellore,1,Andhra Pradesh
396,Nirmal,25,Telangana
397,North 24 Parganas,29,West Bengal
398,Nuapada,20,Odisha
399,Nuh,8,Haryana
400,Osmanabad,15,Maharashtra
400,Osmanabad,122,Groningen
401,Pakur,11,Jharkhand
402,Palwal,8,Haryana
402,Palwal,43,Delhi NCR
403,Panchkula,8,Haryana
403,Panchkula,21,Punjab
403,Panchkula,29,West Bengal
403,Panchkula,31,Chandigarh
403,Panchkula,42,Chandigarh Tricity
404,Panipat,8,Haryana
404,Panipat,43,Delhi NCR
405,Panna,14,Madhya Pradesh
406,Papum Pare,2,Arunachal Pradesh
407,Parbhani,15,Maharashtra
408,Paschim Medinipur,29,West Bengal
409,Patan,5,Chhattisgarh
